date,DL
4/1,0.5305555556
4/2,0.5333333333
4/3,0.5354166667
4/4,0.5375
4/5,0.5388888889
4/6,0.5409722222
4/7,0.5430555556
4/8,0.5444444444
4/9,0.5472222222
4/10,0.5493055556
4/11,0.5506944444
4/12,0.5527777778
4/13,0.5548611111
4/14,0.55625
4/15,0.5590277778
4/16,0.5611111111
4/17,0.5625
4/18,0.5645833333
4/19,0.5666666667
4/20,0.5680555556
4/21,0.5701388889
4/22,0.5722222222
4/23,0.5743055556
4/24,0.5756944444
4/25,0.5777777778
4/26,0.5791666667
4/27,0.58125
4/28,0.5833333333
4/29,0.5854166667
4/30,0.5868055556
5/1,0.5881944444
5/2,0.5902777778
5/3,0.5916666667
5/4,0.5930555556
5/5,0.5958333333
5/6,0.5972222222
5/7,0.5986111111
5/8,0.6006944444
5/9,0.6020833333
5/10,0.6034722222
5/11,0.6048611111
5/12,0.60625
5/13,0.6076388889
5/14,0.6090277778
5/15,0.6104166667
5/16,0.6125
5/17,0.6138888889
5/18,0.6152777778
5/19,0.6166666667
5/20,0.6180555556
5/21,0.6194444444
5/22,0.6208333333
5/23,0.6222222222
5/24,0.6229166667
5/25,0.6236111111
5/26,0.625
5/27,0.6263888889
5/28,0.6270833333
5/29,0.6284722222
5/30,0.6298611111
5/31,0.6305555556
6/1,0.63125
6/2,0.6319444444
6/3,0.6326388889
6/4,0.6340277778
6/5,0.6340277778
6/6,0.6354166667
6/7,0.6361111111
6/8,0.6361111111
6/9,0.6368055556
6/10,0.6368055556
6/11,0.6381944444
6/12,0.6381944444
6/13,0.6388888889
6/14,0.6388888889
6/15,0.6395833333
6/16,0.6395833333
6/17,0.6402777778
6/18,0.6402777778
6/19,0.6402777778
6/20,0.6395833333
6/21,0.6402777778
6/22,0.6402777778
6/23,0.6402777778
6/24,0.6395833333
6/25,0.6395833333
6/26,0.6395833333
6/27,0.6388888889
6/28,0.6388888889
6/29,0.6388888889
6/30,0.6381944444
7/1,0.6381944444
7/2,0.6375
7/3,0.6361111111
7/4,0.6361111111
7/5,0.6354166667
7/6,0.6354166667
7/7,0.6340277778
7/8,0.6333333333
7/9,0.6319444444
7/10,0.6319444444
7/11,0.6305555556
7/12,0.6298611111
7/13,0.6284722222
7/14,0.6284722222
7/15,0.6270833333
7/16,0.6256944444
7/17,0.625
7/18,0.6236111111
7/19,0.6222222222
7/20,0.6208333333
7/21,0.6194444444
7/22,0.61875
7/23,0.6180555556
7/24,0.6166666667
7/25,0.6152777778
7/26,0.6138888889
7/27,0.6125
7/28,0.6111111111
7/29,0.6097222222
7/30,0.6076388889
7/31,0.6055555556
8/1,0.6041666667
8/2,0.6027777778
8/3,0.6013888889
8/4,0.6
8/5,0.5979166667
8/6,0.5965277778
8/7,0.5951388889
8/8,0.5930555556
8/9,0.5916666667
8/10,0.5902777778
8/11,0.5881944444
8/12,0.5868055556
8/13,0.5847222222
8/14,0.5833333333
8/15,0.5805555556
8/16,0.5791666667
8/17,0.5770833333
8/18,0.5756944444
8/19,0.5736111111
8/20,0.5722222222
8/21,0.5701388889
8/22,0.56875
8/23,0.5666666667
8/24,0.5645833333
8/25,0.5631944444
8/26,0.5611111111
8/27,0.5583333333
8/28,0.5569444444
8/29,0.5548611111
8/30,0.5527777778
8/31,0.5513888889
9/1,0.5493055556
9/2,0.5472222222
9/3,0.5451388889
9/4,0.54375
9/5,0.5416666667
9/6,0.5395833333
9/7,0.5375
9/8,0.5354166667
9/9,0.5333333333
9/10,0.53125
9/11,0.5291666667
9/12,0.5277777778
9/13,0.5256944444
9/14,0.5236111111
9/15,0.5215277778
9/16,0.5194444444
9/17,0.5180555556
9/18,0.5159722222
9/19,0.5138888889
9/20,0.5111111111
9/21,0.5090277778
9/22,0.5076388889
9/23,0.5055555556
9/24,0.5034722222
9/25,0.5013888889
9/26,0.4993055556
9/27,0.4979166667
9/28,0.4958333333
9/29,0.49375
9/30,0.4909722222
10/1,0.4895833333
